organization,linkedin,position,startDate,endDate,status,person_id
Owens Corning,https://www.linkedin.com/company/owens-corning,"Global Strategy Director, Insulation",2023,2024-11,INACTIVE,22
Owens Corning,https://www.linkedin.com/company/owens-corning,"Global Product Management & Marketing Director, Glass Reinforcements",2020,2023,INACTIVE,22
Owens Corning,https://www.linkedin.com/company/owens-corning,"Product Leader, Composites",2019,2020,INACTIVE,22
Owens Corning,https://www.linkedin.com/company/owens-corning,Strategy Analyst and Senior R&D Engineer,2014,2019,INACTIVE,22
University of Southern California,,Graduate Research & Teaching Assistant,2009,2014,INACTIVE,22
"Gesellschaft für Wirtschaft, Arbeit und Kultur",,Social Researcher,2024-03,,ACTIVE,23
"Goethe-Universität Frankfurt, Institut für Allgemeinmedizin",,Wissenschaftlicher Mitarbeiter Versorgungsforschung,2018-10,2022-10,INACTIVE,23
"Goethe-Universität Frankfurt, Institut für Allgemeinmedizin",,Projektleitung: Prozessevaluation eines innovativen Versorgungsmodells,2020-03,2022-06,INACTIVE,23
"Goethe-Universität Frankfurt, Institut für Allgemeinmedizin",,Freier Projektmitarbeiter Datenanalyse,2018-10,2019-02,INACTIVE,23
M+R Spedag Group,https://www.linkedin.com/company/mr-spedag-group,CFO,,,UNKNOWN,24
Personalberatung JG,,Berater,2014-01,,ACTIVE,25
Arno Friedrichs Hartmetall GmbH & Co. KG,,Director,2007-07,2013-12,INACTIVE,25
KFC Konrad Carbide GmbH / Konrad Friedrichs KG,,Vice President Sales / Senior Manager Quality and R&D,2001-12,2007-06,INACTIVE,25
SCA Hygiene Products,https://www.linkedin.com/company/sca-company,"Production Manager, Product Manager, Project Manager",1993-01,2001-11,INACTIVE,25
ASTERION Germany GmbH,https://www.linkedin.com/company/asterion-international,Center Management,2010-05,,ACTIVE,26
Selbstständig,,Senior Project Manager,2022-04,,ACTIVE,27
SOFTCOM CONSULTING GmbH,https://www.linkedin.com/company/softcom-consulting-gmbh,"Management Consultant, Senior Project Manager",2018-02,2022-12,INACTIVE,27
deliverIT,,Management Consultant,2016-11,2018-01,INACTIVE,27
metafinanz Informationssysteme GmbH,https://www.linkedin.com/company/metafinanz,Senior Project Manager,2016-05,2016-10,INACTIVE,27
binary Professional IT Solution GmbH,,Senior Consultant,2014-06,2016-03,INACTIVE,27
Bechtle GmbH Wien,,Leitung Projekt und Servicemanagement,2012-08,2014-05,INACTIVE,27
Kapsch AG,https://www.linkedin.com/company/kapsch-ag,Project Manager,2008-07,2012-06,INACTIVE,27
mii AG,,Head of SES,2007-02,2008-05,INACTIVE,27
Interface IT Services,,Geschäftsführer,2004-10,2007-03,INACTIVE,27
FCN Inc.,https://www.linkedin.com/company/fcn,Federal Account Manager,2017-12,,ACTIVE,28
Burney Company,https://www.linkedin.com/company/burneywealthmanagement,Portfolio Manager,2015-07,2017-12,INACTIVE,28
Burney Analytical Group,,Portfolio Systems Manager,2014-07,2015-07,INACTIVE,28
Burney Company,https://www.linkedin.com/company/burneywealthmanagement,Associate Portfolio Manager,2010-04,2014-07,INACTIVE,28
"Executive Lending Services, Inc.",,Mortgage Loan Officer,2005-08,2011-07,INACTIVE,28
2 different companies,,Federal IT Account Manager,1992-07,2005-08,INACTIVE,28
EGELHOF SAS,,Responsable logistique,,,UNKNOWN,29
Musicdreams,,Unternehmensinhaber,,,UNKNOWN,30
Studio Mondu,https://www.linkedin.com/company/studio-mondu,Brand Strategist,2020-01,,ACTIVE,31
Freelance Graphic Designer,,Self Employed,2018-09,,ACTIVE,31
Factory Bucket Inc,https://www.linkedin.com/company/factory-bucket-inc,Product Manager,2018-12,2019-09,INACTIVE,31
RedRhino Inc.,https://www.linkedin.com/company/red-rhino-marketing-&-advertising-agency,Art Director,2009-10,2018-09,INACTIVE,31
Novo Nordisk,https://www.linkedin.com/company/novo-nordisk,Senior Category Manager,2024-04,,ACTIVE,32
Agilent Technologies,https://www.linkedin.com/company/agilent-technologies,Global Category Manager,2021-07,2024-04,INACTIVE,32
Agilent Technologies,https://www.linkedin.com/company/agilent-technologies,Commodity Manager,2015-09,2021-07,INACTIVE,32
Agilent Technologies,https://www.linkedin.com/company/agilent-technologies,Procurement Assistant,2014-11,2015-08,INACTIVE,32
Ejerforeningen Islandshus,,Board Member,2014-05,2015-05,INACTIVE,32
Halvandet ApS,https://www.linkedin.com/company/halvandet,Manager,2011-05,2014-09,INACTIVE,32
Selbstständig,,General Manager,2001-06,,ACTIVE,33
"us-motor.bike, www.us-motor.bike",,Diplom Ökonom,2014-01,2017-01,INACTIVE,33
us-motor.bike,,Inhaber,2014,2017,INACTIVE,33
NA,,Hiring Manager,,,UNKNOWN,34
Luxury Custom Yachts GmbH,,Owner and Executive Director,2020-04,,ACTIVE,35
MHP – A Porsche Company,https://www.linkedin.com/company/mhp-a-porsche-company,Senior Manager,2022-07,2023-07,INACTIVE,35
CONCEPT A.Ş.,,Senior Consultant,2020-04,2022-04,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Sabbatical,2018-01,2020-03,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Manager COC Wiring Harness MB Trucks @ MB Türk,2018-01,2020-02,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Project Manager Development Exterior Parts MB Cars,2014-06,2017-12,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Manager Development Exterior Lighting Systems MB Cars,2008-06,2014-06,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Manager Development Brake- and Chassis Control Systems MB Trucks,1998-05,2008-05,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Ingenieur Mechatronik,1989-09,1998-05,INACTIVE,35
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Student an der Berufsakademie,1986-09,1989-09,INACTIVE,35
Mercedes-Benz Türk A.Ş.,https://www.linkedin.com/company/mercedesbenzturk,Manager COC Wiring Harness Mercedes-Benz Trucks,2018-01,2020-02,INACTIVE,35
Private Family Business,,Family Manager,2017-03,2017-09,INACTIVE,35
eye4improve,https://www.linkedin.com/company/eye4improve,Founder & Managing Director,2017-08,,ACTIVE,36
Storm - House of Six Sigma,https://www.linkedin.com/company/houseofsixsigma,Senior Consultant,2014-11,2017-08,INACTIVE,36
West Pharmaceutical Services,https://www.linkedin.com/company/west-pharmaceutical-services,Head of Technology & Projects,2009-08,2014-11,INACTIVE,36
Johnson Controls Denmark,https://www.linkedin.com/company/johnson-controls,Continuous Improvement Manager. Six Sigma Black Belt,2008-03,2009-08,INACTIVE,36
Johnson Controls Denmark,https://www.linkedin.com/company/johnson-controls,Six Sigma Black Belt,2006-11,2008-03,INACTIVE,36
Johnson Controls Denmark,https://www.linkedin.com/company/johnson-controls,Program Manager,2006-06,2007-12,INACTIVE,36
York refrigeration,https://www.linkedin.com/company/johnson-controls,Design Manager Compressor units,2002-05,2006-06,INACTIVE,36
York refrigeration,https://www.linkedin.com/company/johnson-controls,Project Engineer,2002-01,2002-05,INACTIVE,36
Bilwinco A/S,https://www.linkedin.com/company/bilwinco-as,Service Engineer,1999-10,2001-12,INACTIVE,36
Orthocenter,https://www.linkedin.com/company/orthocenter,Orthodontie assistent,2022-05,,ACTIVE,37
Orthocenter,https://www.linkedin.com/company/orthocenter,Leerling orthodontie assistent,2022-05,,ACTIVE,37
Tandartspraktijk Hollandscheveld,https://www.linkedin.com/company/tandartspraktijk-hollandscheveld,senior tandarts assistent,2021-11,2022-05,INACTIVE,37
Tandartspraktijk H. van Huizen,,Senior Tandarts assistent,2021-04,2021-11,INACTIVE,37
Tandartspraktijk Aldente,,Senior Tandarts assistent,1994-08,2021-04,INACTIVE,37
Deloitte,https://www.linkedin.com/company/deloitte,Manager Risk Advisory,2023-02,,ACTIVE,38
IT-Services der Sozialversicherung GmbH,https://www.linkedin.com/company/it-services-der-sozialversicherung-gmbh,Systemadministrator Clientservices,2024-05,,ACTIVE,39
WKO Inhouse GmbH,https://www.linkedin.com/company/wko-inhouse-gmbh,Active Directory Specialist,2023-04,2024-05,INACTIVE,39
Hilfswerk Niederösterreich,https://www.linkedin.com/company/hilfswerk-niederösterreich,IT-Techniker,2018-09,2023-04,INACTIVE,39
Rotheneder Gesm.B.H,,Jr. Consultant PrePress,1999-10,2004-10,INACTIVE,39
Montgomery County,,IT Program Manager – Information Security,2016-09,,ACTIVE,40
Dayton Leadership Academies,,Technology Manager,2005-03,,ACTIVE,40
PC Connection,https://www.linkedin.com/company/connection-it,Refurbishment Technician,2002-01,2005-03,INACTIVE,40
Technology Support Coordinator,,Sinclair College,1999-04,2004-05,INACTIVE,40
Sventronik.com,,Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen,2022-01,,ACTIVE,41
Deutsche Vermögensberatung,https://www.linkedin.com/company/dvag,IT-Consultant,2020,2020,INACTIVE,41
Finanz Informatik GmbH & Co. KG,https://www.linkedin.com/company/finanz-informatik,IT-Consultant,2019,2020,INACTIVE,41
SOKA-BAU,https://www.linkedin.com/company/soka-bau,IT Consultant,2017,2018,INACTIVE,41
LBBW Landesbank Baden-Württemberg,https://www.linkedin.com/company/lbbw,IT Consultant,2016,2017,INACTIVE,41
Finanz Informatik GmbH & Co. KG,https://www.linkedin.com/company/finanz-informatik,IT Consultant,2014,2016,INACTIVE,41
DWS Group,https://www.linkedin.com/company/dwsgroup,IT Consultant,2012,2014,INACTIVE,41
Sparda-Datenverarbeitung eG,https://www.linkedin.com/company/sparda-datenverarbeitung-eg,IT Consultant,2010,2011,INACTIVE,41
SEB,https://www.linkedin.com/company/seb,IT Consultant,2010,2010,INACTIVE,41
HSBC Commercial Banking,https://www.linkedin.com/company/hsbc,IT Consultant,2009,2009,INACTIVE,41
ITS Wertpapiere,,IT Consultant,2008,2008,INACTIVE,41
Landesbank Hessen Thüringen,https://www.linkedin.com/company/landesbank-hessen-thüringen,IT Consultant,2006,2007,INACTIVE,41
TxB Transaktionsbank GmbH,https://www.linkedin.com/company/txb-transaktionsbank-gmbh,IT Consultant,2002,2006,INACTIVE,41
Landesbausparkasse Hessen-Thüringen,,IT Consultant,2001,2002,INACTIVE,41
Landesbank Hessen Thüringen,https://www.linkedin.com/company/landesbank-hessen-thüringen,IT Consultant,1998,2001,INACTIVE,41
ZDF,https://www.linkedin.com/company/zdf,IT Consultant,1997,1997,INACTIVE,41
SV SparkassenVersicherung,https://www.linkedin.com/company/sv-sparkassenversicherung,IT Consultant,1996,1997,INACTIVE,41
Landesbank Hessen Thüringen,https://www.linkedin.com/company/landesbank-hessen-thüringen,IT Consultant,1992,1995,INACTIVE,41
Merck,https://www.linkedin.com/company/merck,Human Resources Director,,,UNKNOWN,42
Accenture,https://www.linkedin.com/company/accenture,Manager,2003,2010,INACTIVE,42
eightbit experts GmbH,https://www.linkedin.com/company/eightbitexperts,CEO,2024-01,,ACTIVE,43
eightbit experts GmbH,https://www.linkedin.com/company/eightbitexperts,CEO,2022-08,2024-01,INACTIVE,43
eightbit experts GmbH,https://www.linkedin.com/company/eightbitexperts,CEO and Shareholder,2008,2022-07,INACTIVE,43
Prüser & Müller GmbH,,CEO and Shareholder,2016,,ACTIVE,43
neusta eastern europe,https://www.linkedin.com/company/westhouse-international,Founder and Shareholder,2018-07,2022-06,INACTIVE,43
neusta aerospace GmbH,https://www.linkedin.com/company/neusta-aerospace-gmbh,Shareholder,2016,2021-04,INACTIVE,43
Lufthansa Group,https://www.linkedin.com/company/lufthansa-group,Head of Payment IT Solutions,2022-01,,ACTIVE,44
Lufthansa Systems,https://www.linkedin.com/company/lufthansa-systems,Airline Consultant,2019-11,2021-12,INACTIVE,44
Miles & More GmbH / Lufthansa Group,,Manager Product Development,2019-01,2019-10,INACTIVE,44
Miles & More GmbH / Lufthansa Group,,Project Manager Airport & Airline Shopping,2015-08,2018-12,INACTIVE,44
Miles & More GmbH / Lufthansa Group,,Manager Finance & Controlling,2013-01,2015-08,INACTIVE,44
GME Cargo Agents Express GmbH,,Customer Service,2011-01,2012-05,INACTIVE,44
Banco de Portugal,https://www.linkedin.com/company/banco-de-portugal,Banking Prudential Supervision Analyst,2018-03,,ACTIVE,45
Banco Finantia,https://www.linkedin.com/company/banco-finantia,Credit Risk Associate Director,2017-01,2018-02,INACTIVE,45
Banco Finantia,https://www.linkedin.com/company/banco-finantia,Senior Credit Risk Analyst,2014-10,2016-12,INACTIVE,45
Vodafone,https://www.linkedin.com/company/vodafone,Senior Financial & Business Strategy Analyst,2012-10,2014-09,INACTIVE,45
PwC,https://www.linkedin.com/company/pwc,Strategy and Operations Corporate Consultant,2012-04,2012-10,INACTIVE,45
PwC,https://www.linkedin.com/company/pwc,Financial Services Associate Auditor,2010-09,2012-03,INACTIVE,45
Steinbeis Papier GmbH,,Geschäftsführer,2014-08,,ACTIVE,46
eyebase DAM,https://www.linkedin.com/company/eyebase-dam,CEO,2006,,ACTIVE,47
"Eyebase USA, Inc.",https://www.linkedin.com/company/eyebaseusa,Product Manager,2019-01,,ACTIVE,47
Phoenix HIIT Fitness KG,,Investor,2019-07,,ACTIVE,47
Phoenixlifestyle KG,,Shareholder,2018-09,,ACTIVE,47
METRO AG,https://www.linkedin.com/company/metro-ag,SVP People & Culture Management and Services; CEO METRO Campus Services GmbH,2022-10,,ACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,SVP HR Services & CEO METRO Campus Services GmbH,2022-01,2022-09,INACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,Global Director HR Operations & Compensation / Managing Director METRO Campus Services GmbH,2019-10,2021-12,INACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,Global Director HR Campus,2017-04,2019-10,INACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,Director Campus HR Operations,2015-08,2017-03,INACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,Director HR METRO SYSTEMS GmbH,2013-01,2015-07,INACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,Head of HR Management Project Foundation,2012-07,2012-12,INACTIVE,48
METRO AG,https://www.linkedin.com/company/metro-ag,Head of HR International; Compensation & Benefits,2010-07,2012-09,INACTIVE,48
Metro Cash and Carry,https://www.linkedin.com/company/metro-makro,Head of Staffing & Compensation International Management,2007-09,2010-06,INACTIVE,48
Hochtief,https://www.linkedin.com/company/hochtief,Manager HR International /Deputy Head of HR International,2005-09,2007-08,INACTIVE,48
TMD Friction,https://www.linkedin.com/company/tmd-friction,Manager International Assignments & Pensions,2004-10,2005-09,INACTIVE,48
