organization,linkedin,position,startDate,endDate,status,department,seniority,person_id
University of Ulm,,Professor,,,UNKNOWN,Other,Professional,29
VR Bank Lahn-Dill,https://www.linkedin.com/company/vrbanklahndill,Bankkaufmann,,,UNKNOWN,Other,Professional,30
VR Bank Lahn-Dill,https://www.linkedin.com/company/vrbanklahndill,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,1992-08,,ACTIVE,Other,Professional,30
Consultant Juridique International Ltd,https://www.linkedin.com/company/oliver-charles-associates,Director,2025-03,,ACTIVE,Other,Director,31
Consultant Juridique International Ltd,https://www.linkedin.com/company/oliver-charles-associates,Senior Partner,1997-09,2025-03,INACTIVE,Business Development,Senior,31
TALLY WEiJL,https://www.linkedin.com/company/tally-weijl,IT Systems and Network Engineer,2021-11,,ACTIVE,Information Technology,Professional,32
Systancia,https://www.linkedin.com/company/systancia,Support Analyst,2017-08,2021-11,INACTIVE,Customer Support,Professional,32
ALIUD PHARMA GmbH,https://www.linkedin.com/company/aliud-pharma®-gmbh,IT-Teamleiter,2022-08,,ACTIVE,Information Technology,Lead,33
ALIUD PHARMA GmbH,https://www.linkedin.com/company/aliud-pharma®-gmbh,Senior IT-Sicherheitsbeauftragter,2010-01,,ACTIVE,Information Technology,Senior,33
ALIUD PHARMA GmbH,https://www.linkedin.com/company/aliud-pharma®-gmbh,IT-Systemadministrator,2002-09,,ACTIVE,Information Technology,Professional,33
Hypergene,https://www.linkedin.com/company/hypergene,Senior Project Manager,2022-10,,ACTIVE,Project Management,Senior,34
Eslövs kommun,https://www.linkedin.com/company/eslovs-kommun,Utvecklingsledare - system för ledning och styrning,2020-01,2022-09,INACTIVE,Project Management,Lead,34
Eslövs kommun,https://www.linkedin.com/company/eslovs-kommun,Projektledare - nytt system för ledning och styrning,2017-08,2019-12,INACTIVE,Project Management,Lead,34
Eslövs kommun,https://www.linkedin.com/company/eslovs-kommun,Kvalitetscontroller,2016-06,2017-08,INACTIVE,Information Technology,Professional,34
PwC Sweden,https://www.linkedin.com/company/pwc-sweden,Management Consultant Public Administration,2006-03,2016-06,INACTIVE,Consulting,Professional,34
Kävlinge kommun,https://www.linkedin.com/company/kavlinge-kommun,Ekonom,2001-01,2006-03,INACTIVE,Other,Professional,34
Lunds kommun,https://www.linkedin.com/company/lunds-kommun,Ekonom,2000-06,2001-01,INACTIVE,Other,Professional,34
Malmö University,,University Teacher,1999-08,2000-12,INACTIVE,Other,Professional,34
Mälardalen University,https://www.linkedin.com/company/malardalen-university,University Teacher,1993-01,1999-07,INACTIVE,Other,Professional,34
Hettich Group,https://www.linkedin.com/company/hettich-group,Geschäftsführer,,,UNKNOWN,Other,Management,35
Giesecke+Devrient,https://www.linkedin.com/company/giesecke-devrient,Head of HR/CHRO,2021-10,,ACTIVE,Human Resources,Lead,36
Giesecke+Devrient,https://www.linkedin.com/company/giesecke-devrient,Head of Corporate Human Resources,2017-01,2021-10,INACTIVE,Human Resources,Lead,36
Giesecke+Devrient,https://www.linkedin.com/company/giesecke-devrient,Head of Employment Law and Labour Relations,2012-06,2017-01,INACTIVE,Other,Lead,36
Giesecke+Devrient,https://www.linkedin.com/company/giesecke-devrient,Senior Legal Counsel,2007-08,2012-05,INACTIVE,Other,Senior,36
ZIRNGIBL Rechtsanwälte Partnerschaft mbB,https://www.linkedin.com/company/zirngiblrechtsanwaeltembb,Rechtsanwalt,2000-09,2007-07,INACTIVE,Other,Professional,36
Universität Regensburg,,Research Assistant,1998-10,2000-07,INACTIVE,Other,Junior,36
Revitope,https://www.linkedin.com/company/revitope,Chief Scientific Officer,,,UNKNOWN,Other,Management,37
Asdhjbv,,Office Associate,,,UNKNOWN,Administrative,Junior,38
Quest ontheFRONTIER,https://www.linkedin.com/company/quest-onthefrontier,Human Resources Consultant,2024-12,,ACTIVE,Consulting,Professional,39
TOTL RPO SOLUTIONS LLP,https://www.linkedin.com/company/totl-rpo-solutions-llp,HR Associate Consultant,2022-07,2024-11,INACTIVE,Human Resources,Professional,39
Confederation of Indian Industry,https://www.linkedin.com/company/confederation-of-indian-industry,Human Resources,2019-09,2020-03,INACTIVE,Human Resources,Professional,39
Roche,https://www.linkedin.com/company/roche,Manager,1990-07,2019-07,INACTIVE,Other,Professional,40
Siemens Healthcare,https://www.linkedin.com/company/siemens-healthineers,Service Engineer,1980-09,1990-06,INACTIVE,Information Technology,Professional,40
Exelonix GmbH,https://www.linkedin.com/company/exelonix-gmbh,Managing Director,2013-02,,ACTIVE,Other,Management,41
Baumer Optronic GmbH,https://www.linkedin.com/company/baumer-group,Head of Sales,2012-02,2013-01,INACTIVE,Sales,Lead,41
Signalion GmbH,,Head of Marketing,2009-01,2012-02,INACTIVE,Marketing,Lead,41
Signalion,,Manager Marketing & Sales,2005-01,2008-12,INACTIVE,Other,Professional,41
Technische Universität Dresden,,Phd Student,1998,2003,INACTIVE,Other,Junior,41
Roto Frank Holding AG,https://www.linkedin.com/company/roto-frank-holding-ag,Alleinvorstand Roto Frank Holding AG,,,UNKNOWN,Other,Management,42
Finanzamt Münster-Außenstadt,https://www.linkedin.com/company/finanzamt-münster-außenstadt,Duales Studium Diplom Finanzwirt,2024-09,2024-12,INACTIVE,Other,Junior,43
FLSmidth,https://www.linkedin.com/company/flsmidth,Senior Arbeitsplaner,2022-09,2023-09,INACTIVE,Project Management,Senior,43
thyssenkrupp,https://www.linkedin.com/company/thyssenkrupp,Arbeitsplaner für Internationale Getriebemontagen,2020-10,2022-09,INACTIVE,Project Management,Professional,43
thyssenkrupp,https://www.linkedin.com/company/thyssenkrupp,Service Engineer für Reparaturaufträge,2019-05,2020-09,INACTIVE,Customer Support,Professional,43
thyssenkrupp,https://www.linkedin.com/company/thyssenkrupp,Zerspanungsmechaniker,2016-02,2019-04,INACTIVE,Other,Professional,43
thyssenkrupp,https://www.linkedin.com/company/thyssenkrupp,Auszubildender zum Zerspanungsmechaniker,2012-08,2016-01,INACTIVE,Other,Junior,43
FRANK GmbH,https://www.linkedin.com/company/frank-gmbh,Product Manager,2023-11,,ACTIVE,Project Management,Professional,44
SprintRay Inc.,https://www.linkedin.com/company/sprintray,Technical Support Specialist EMEA - Dental 3D Printing,2021-08,2023-10,INACTIVE,Customer Support,Professional,44
Fiberthree GmbH,https://www.linkedin.com/company/fiberthree,Internship 3D printing FDM (Bachelor thesis),2020-07,2021-01,INACTIVE,Information Technology,Junior,44
KISICO,https://www.linkedin.com/company/kisico,Machine Operator Injection Moulding,2019-10,2020-01,INACTIVE,Other,Professional,44
Norra Halland,https://www.linkedin.com/company/norrahalland,Reporter,2024-06,,ACTIVE,Other,Professional,45
Levantine Bistro,,Waiter & Bartender,2024-03,,ACTIVE,Other,Professional,45
Levantine Bistro,,Waiter & Bartender,2022-07,2023-08,INACTIVE,Other,Professional,45
Lapland Resorts AB,https://www.linkedin.com/company/lapland-resorts-ab,Cook,2022-02,2022-05,INACTIVE,Other,Professional,45
Tall Tale Stockholm AB,,Reporter och researcher,2020-11,2021-08,INACTIVE,Other,Professional,45
Altinget.se,https://www.linkedin.com/company/altinget-se,Studentmedarbetare,2020-08,2020-10,INACTIVE,Other,Junior,45
PodMe,https://www.linkedin.com/company/podme,Radio Reporter and Researcher,2020-01,2020-10,INACTIVE,Other,Professional,45
EnBet Consulting,https://www.linkedin.com/company/enbet-consulting,Geschäftsführer,2021-02,,ACTIVE,Other,Management,46
SW Operations GmbH,,Geschäftsführer,2022-02,2024-02,INACTIVE,Other,Management,46
SBS Solutions GmbH / Bet3000,,Leiter für Unternehmensentwicklung / Franchise,2019-09,2021-07,INACTIVE,Business Development,Lead,46
XTiP Sportwetten Shops GmbH,,Leiter Expansion,2018-10,2019-08,INACTIVE,Business Development,Lead,46
XTiP Sportwetten Shops GmbH,,Expansionsmanager,2017-10,2018-09,INACTIVE,Business Development,Professional,46
WETTBAR tipp GmbH,,Expansions Manager,2014-09,2017-10,INACTIVE,Business Development,Professional,46
Mersino GmbH,,Filialmanager,2011-09,2014-09,INACTIVE,Other,Professional,46
TOPMOTIVE,https://www.linkedin.com/company/topmotive,CEO / Managing Shareholder,2013,,ACTIVE,Other,Management,47
TOPMOTIVE,https://www.linkedin.com/company/topmotive,Member Of The Management Board (HR and Finance),2008,2013,INACTIVE,Other,Management,47
DigitalNativeAlliance,https://www.linkedin.com/company/digitalnativealliance,Member of the Advisory Board,2025-01,,ACTIVE,Other,Management,47
Studien- und Fördergesellschaft der Schleswig-Holsteinischen Wirtschaft e.V.,,Member of the Advisory Board,2022-08,,ACTIVE,Other,Management,47
RISKMETRICS GROUP,,Intern,2010-02,2010-06,INACTIVE,Other,Junior,47
MTU Aero Engines,https://www.linkedin.com/company/mtu-aero-engines,Intern,2008-04,2008-10,INACTIVE,Other,Junior,47
DELABO.GROUP GmbH,https://www.linkedin.com/company/delabo-group,CFO,2019-10,2023-03,INACTIVE,Other,Management,48
Wehner Consulting GmbH,https://www.linkedin.com/company/goodman-marketing,Geschäftsführer,2019-06,,ACTIVE,Other,Management,49
EDAG Production Solutions GmbH & Co. KG,https://www.linkedin.com/company/edaggroup,Project Management,2014-08,2017-09,INACTIVE,Project Management,Professional,49
Techniker Krankenkasse,https://www.linkedin.com/company/techniker-krankenkasse,Key Account Manager,2013-02,2014-03,INACTIVE,Sales,Professional,49
Kampffmeyer Food Innovation GmbH,,Director Sales,1989-01,,ACTIVE,Sales,Director,50
Lufthansa,https://www.linkedin.com/company/lufthansa,Sub-Stream Lead Simplify | Turnaround Programs,2025-01,,ACTIVE,Project Management,Lead,51
Lufthansa,https://www.linkedin.com/company/lufthansa,Manager | Enhance Efficiency Programs,2024-01,2024-12,INACTIVE,Other,Professional,51
vent.io,https://www.linkedin.com/company/vent-io,Innovation Lead,2022-11,2023-11,INACTIVE,Other,Lead,51
vent.io,https://www.linkedin.com/company/vent-io,Senior Innovation Manager,2021-11,2022-10,INACTIVE,Other,Senior,51
Karlsruhe Institute of Technology (KIT),,Research Associate,2017-08,2021-07,INACTIVE,Consulting,Junior,51
BASF,https://www.linkedin.com/company/basf,Research Associate,2017-10,2021-03,INACTIVE,Consulting,Junior,51
IBM Corporate Headquarters,https://www.linkedin.com/company/ibm,Managing Strategy Consultant & Data Scientist,2015-06,2017-04,INACTIVE,Consulting,Professional,51
IBM Corporate Headquarters,https://www.linkedin.com/company/ibm,Senior Strategy Consultant,2014-01,2015-05,INACTIVE,Consulting,Senior,51
Hult International Business School,,Teaching Assistant,2013-09,2013-12,INACTIVE,Other,Junior,51
IBM,https://www.linkedin.com/company/ibm,Senior Consultant,2010-07,2012-08,INACTIVE,Consulting,Senior,51
IBM,https://www.linkedin.com/company/ibm,Consultant,2008-10,2010-06,INACTIVE,Consulting,Professional,51
IBM,https://www.linkedin.com/company/ibm,Business Analyst,2005-10,2008-09,INACTIVE,Other,Professional,51
noury AG,https://www.linkedin.com/company/noury-ag,Chief Revenue Officer (CRO),2024-11,,ACTIVE,Sales,Management,52
Boss Info,https://www.linkedin.com/company/bossinfo,Group CFO,2022-04,2024-11,INACTIVE,Other,Management,52
Full Speed Systems AG,,CFO,1996-01,2024-11,INACTIVE,Other,Management,52
webnwine AG,https://www.linkedin.com/company/webnwine-ag,CEO,2007-01,2022-04,INACTIVE,Other,Management,52
German Operation of CINRAM,,Vice President,,,UNKNOWN,Other,Management,53
Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Business Development Manager,2024-03,,ACTIVE,Business Development,Professional,54
Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Product Innovation Manager,2022-03,2024-02,INACTIVE,Marketing,Professional,54
Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Application Engineering Manager,2014-05,2022-02,INACTIVE,Information Technology,Professional,54
Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Application Development Specialist & Technician Supervisor,2011-05,2014-04,INACTIVE,Information Technology,Lead,54
Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Application Development Specialist,2009-11,2011-06,INACTIVE,Information Technology,Professional,54
Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Design Engineer,2008-01,2010-01,INACTIVE,Information Technology,Professional,54
Waterloo University,,M.Sc. in Mechanical Engineering,2005-09,2007-10,INACTIVE,Other,Professional,54
Queen's University Mechanical Engineering,,Research Assistant,2004-05,2004-09,INACTIVE,Other,Junior,54
Genpharm Inc.,https://www.linkedin.com/company/genpharm-inc.,Engineering Student,2003-05,2003-08,INACTIVE,Information Technology,Junior,54
Queen's University,,Technical Support Advisor,2002-08,2003-04,INACTIVE,Customer Support,Professional,54
"BMW Group, New Technology Concepts/Innovation in Chassis Systems",https://www.linkedin.com/company/bmw-group,Internship,2002-05,2002-08,INACTIVE,Other,Junior,54
myclimate,https://www.linkedin.com/company/myclimate,Projektleiterin Bildung,2021-06,,ACTIVE,Other,Lead,55
myclimate,https://www.linkedin.com/company/myclimate,Projektmitarbeiterin Bildung,2018-11,2021-05,INACTIVE,Other,Professional,55
Stiftung PanEco,https://www.linkedin.com/company/paneco-foundation-for-sustainable-development-and-intercultural-exchange,Praktikantin Umweltbildung,2018-02,2018-10,INACTIVE,Other,Junior,55
Eawag,,Student Research Assistant,2015-09,2015-12,INACTIVE,Other,Junior,55
Universität Zürich | University of Zurich,,Akademischer Tutor,2015-02,2015-06,INACTIVE,Other,Junior,55
Universität Zürich | University of Zurich,,Akademischer Tutor,2014-02,2014-06,INACTIVE,Other,Junior,55
Valora Group,https://www.linkedin.com/company/valora-group,Angestellte Verkauf,2012-08,2013-11,INACTIVE,Sales,Professional,55
Dreamcatcher Alley,,Co Owner,2007,,ACTIVE,Other,Management,56
Sunstates Security,https://www.linkedin.com/company/sunstates-security,Information Security Officer,2009,2015,INACTIVE,Information Technology,Professional,56
bells weddings,,Revern Linda Bell,1999-11,2010,INACTIVE,Other,Professional,56
Allied Barton security,,Security Officer,2004,2009,INACTIVE,Information Technology,Professional,56
Desjardins,https://www.linkedin.com/company/desjardins,"Practice Leader, Data Valorization Strategy",2025,,ACTIVE,Consulting,Lead,57
ATECNA Montréal,https://www.linkedin.com/company/atecna-montreal,"Associate Director, Data Strategy & Optimisation",2024,2025,INACTIVE,Information Technology,Director,57
ATECNA Montréal,https://www.linkedin.com/company/atecna-montreal,General Manager,2021,2024,INACTIVE,Other,Management,57
ATECNA Montréal,https://www.linkedin.com/company/atecna-montreal,"Associate Director, Digital Analytics",2020-09,2021-10,INACTIVE,Marketing,Director,57
ATECNA Montréal,https://www.linkedin.com/company/atecna-montreal,Digital Performance Director,2019-11,2020-08,INACTIVE,Marketing,Director,57
Mediative,https://www.linkedin.com/company/mediative,"Director, Marketing Analytics & Data Services",2017,2018,INACTIVE,Marketing,Director,57
Mediative,https://www.linkedin.com/company/mediative,"Manager, Analytics & Insights",2015,2017,INACTIVE,Information Technology,Professional,57
Mediative,https://www.linkedin.com/company/mediative,Senior Strategist,2013,2015,INACTIVE,Consulting,Senior,57
Mediative,https://www.linkedin.com/company/mediative,Performance Media Strategist,2011,2013,INACTIVE,Marketing,Professional,57
Yellow Pages Group / Groupe Pages Jaunes – Canada,https://www.linkedin.com/company/yellow-pages-group-group-pages-jaunes---canada,Search Marketing Specialist,2010,2011-07,INACTIVE,Marketing,Professional,57
Nextedia,https://www.linkedin.com/company/nextedia,International Team Manager,2008,2009,INACTIVE,Other,Professional,57
Nextedia,https://www.linkedin.com/company/nextedia,International Webmarketing Consultant,2007,2008,INACTIVE,Consulting,Professional,57
B. Braun Group - Vascular Systems,https://www.linkedin.com/company/bbraun-group,Strategic Marketing,2003,2005,INACTIVE,Marketing,Professional,57
B. Braun Group - Vascular Systems,https://www.linkedin.com/company/bbraun-group,Marketing Trainee,2000,2003,INACTIVE,Marketing,Junior,57
Sedef Shipbuilding Inc.,https://www.linkedin.com/company/sedef-shipyard,iş güvenliği,2020-02,,ACTIVE,Other,Professional,58
Arıtsan Çevre Ölçüm ve Analiz Laboratuvarı,,çevre teknikeri,2014-09,2019-08,INACTIVE,Other,Professional,58
TUPRAS,https://www.linkedin.com/company/tupras,işçi sağlığı ve güvenliği,2012-09,2014-06,INACTIVE,Other,Professional,58
UZMAR,https://www.linkedin.com/company/uzmar,Stajyer,2013-06,2013-10,INACTIVE,Other,Junior,58
Giganet Services GmbH,,Geschäftsführer bei Giganet Services GmbH,2024-09,,ACTIVE,Other,Management,59
Expert Link GmbH,https://www.linkedin.com/company/expert-link-gmbh,Owner,2010-02,,ACTIVE,Other,Management,59
GIGA FIBER,,Geschäftsführer,2023-12,2025-03,INACTIVE,Other,Management,59
Infrafibre Networks GmbH,,Mitglied der Geschäftsleitung,2023-02,2023-12,INACTIVE,Other,Management,59
BBV Deutschland GmbH,https://www.linkedin.com/company/bbv-deutschland,COO,2017-05,2023-03,INACTIVE,Other,Management,59
