organization,position,startDate,endDate,status,department,seniority,person_id,job_count,job_duration_years
German School Bratislava,Instructor,2021-08,2024-07,INACTIVE,Other,Professional,20,6,2.9178082191780823
Kassel University - Department of Philosophy,Dr. phil.,2017-08,2021-09,INACTIVE,Other,Professional,20,6,4.087671232876712
Lichtenberg School,"Teacher: History, Ethics, French",2008-08,2017-07,INACTIVE,Other,Professional,20,6,8.92054794520548
German School Beijing (China),"Teacher: History, Ethics, French",2002-08,2008-07,INACTIVE,Other,Professional,20,6,5.920547945205479
"Universities: Chuncheon, Hannam, Hongik (South Korea)",Dr. phil. - German Studies,1990-02,1999-01,INACTIVE,Other,Professional,20,6,8.92054794520548
Thurm GmbH,"Geschäftsführer, CMO",2014-07,2025-12,ACTIVE,Marketing,Management,21,3,11.427397260273972
Gebrüder Weiß & Cie. KG,Geschäftsführender Gesellschafter,2012-01,2025-12,ACTIVE,Other,Management,21,3,13.926027397260274
Hartlauer Handelsgesellschaft mbH,Verantowrtlicher Online/CRM,2009-01,2011-12,INACTIVE,Marketing,Professional,21,3,2.915068493150685
Vorruhestand,Bereichsleiter Maschinen,1996-07,2025-12,ACTIVE,Other,Lead,22,3,29.438356164383563
RAG,bereichsleiter,1979-07,2007-07,INACTIVE,Other,Lead,22,3,28.019178082191782
Maschinenbau,Albert Böcker,1971-07,1975-07,INACTIVE,Other,Professional,22,3,4.002739726027397
Etse Electronics (Pty) Ltd,Principal RF Design Engineer,2003-09,2025-12,ACTIVE,Information Technology,Senior,23,1,22.265753424657536
Tallahassee Orthopedic Clinic,Physician Assistant,2023-01,2025-12,ACTIVE,Other,Professional,24,6,2.9178082191780823
U.S. Department of Veterans Affairs,Physician Assistant,2020-06,2023-01,INACTIVE,Other,Professional,24,6,2.5863013698630137
Florida State University College of Medicine,Physician Assistant Student,2017-08,2019-12,INACTIVE,Other,Junior,24,6,2.334246575342466
Department of Veterans Affairs,Medical Technician,2012-08,2017-08,INACTIVE,Other,Professional,24,6,5.002739726027397
US Army,Medical Laboratory Technician,2011-02,2012-07,INACTIVE,Other,Professional,24,6,1.4136986301369863
US Army,Medical Laboratory Technician,2007-07,2011-02,INACTIVE,Other,Professional,24,6,3.591780821917808
Fresenius Kabi,Unternehmensinhaber,2023-01,2025-12,ACTIVE,Other,Management,25,1,2.9178082191780823
Portobello Shop,Consultor de vendas,2023-01,2025-12,ACTIVE,Sales,Professional,26,1,2.9178082191780823
Stork Lijmen,Co-Owner,2002-01,2025-12,ACTIVE,Other,Management,27,5,23.931506849315067
Stork Lijmen,CEO,2002-01,2025-12,ACTIVE,Other,Management,27,5,23.931506849315067
ESBA Horti Solutions BV,CEO/Founder,2015-12,2025-12,ACTIVE,Other,Management,27,5,10.008219178082191
Döllken Kunststofverarbeitung GmbH,sales manager,1989-06,2001-07,INACTIVE,Sales,Professional,27,5,12.09041095890411
Döllken,verkoopleider,1989-07,2001-06,INACTIVE,Sales,Lead,27,5,11.926027397260274
Countryside Body & Welding incCountryside Body & Welding Inc,Sandblast and prep,2021-06,2022-02,INACTIVE,Other,Professional,28,1,0.6712328767123288
University of Ulm,Professor,2023-01,2025-12,ACTIVE,Other,Professional,29,1,2.9178082191780823
VR Bank Lahn-Dill,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,1992-08,2025-12,ACTIVE,Other,Professional,30,1,33.35616438356164
Consultant Juridique International Ltd,Director,2025-03,2025-12,ACTIVE,Other,Director,31,2,0.7534246575342466
Consultant Juridique International Ltd,Senior Partner,1997-09,2025-03,INACTIVE,Business Development,Senior,31,2,27.515068493150686
TALLY WEiJL,IT Systems and Network Engineer,2021-11,2025-12,ACTIVE,Information Technology,Professional,32,2,4.0849315068493155
Systancia,Support Analyst,2017-08,2021-11,INACTIVE,Customer Support,Professional,32,2,4.254794520547946
ALIUD PHARMA GmbH,IT-Teamleiter,2022-08,2025-12,ACTIVE,Information Technology,Lead,33,3,3.336986301369863
ALIUD PHARMA GmbH,Senior IT-Sicherheitsbeauftragter,2010-01,2025-12,ACTIVE,Information Technology,Senior,33,3,15.926027397260274
ALIUD PHARMA GmbH,IT-Systemadministrator,2002-09,2025-12,ACTIVE,Information Technology,Professional,33,3,23.265753424657536
Hypergene,Senior Project Manager,2022-10,2025-12,ACTIVE,Project Management,Senior,34,9,3.16986301369863
Eslövs kommun,Utvecklingsledare - system för ledning och styrning,2020-01,2022-09,INACTIVE,Project Management,Lead,34,9,2.6684931506849314
Eslövs kommun,Projektledare - nytt system för ledning och styrning,2017-08,2019-12,INACTIVE,Project Management,Lead,34,9,2.334246575342466
Eslövs kommun,Kvalitetscontroller,2016-06,2017-08,INACTIVE,Information Technology,Professional,34,9,1.167123287671233
PwC Sweden,Management Consultant Public Administration,2006-03,2016-06,INACTIVE,Consulting,Professional,34,9,10.26027397260274
Kävlinge kommun,Ekonom,2001-01,2006-03,INACTIVE,Other,Professional,34,9,5.164383561643835
Lunds kommun,Ekonom,2000-06,2001-01,INACTIVE,Other,Professional,34,9,0.5863013698630137
Malmö University,University Teacher,1999-08,2000-12,INACTIVE,Other,Professional,34,9,1.336986301369863
Mälardalen University,University Teacher,1993-01,1999-07,INACTIVE,Other,Professional,34,9,6.498630136986302
Hettich Group,Geschäftsführer,2023-01,2025-12,ACTIVE,Other,Management,35,1,2.9178082191780823
Giesecke+Devrient,Head of HR/CHRO,2021-10,2025-12,ACTIVE,Human Resources,Lead,36,6,4.16986301369863
Giesecke+Devrient,Head of Corporate Human Resources,2017-01,2021-10,INACTIVE,Human Resources,Lead,36,6,4.750684931506849
Giesecke+Devrient,Head of Employment Law and Labour Relations,2012-06,2017-01,INACTIVE,Other,Lead,36,6,4.589041095890411
Giesecke+Devrient,Senior Legal Counsel,2007-08,2012-05,INACTIVE,Other,Senior,36,6,4.7534246575342465
ZIRNGIBL Rechtsanwälte Partnerschaft mbB,Rechtsanwalt,2000-09,2007-07,INACTIVE,Other,Professional,36,6,6.832876712328767
Universität Regensburg,Research Assistant,1998-10,2000-07,INACTIVE,Other,Junior,36,6,1.7506849315068493
Revitope,Chief Scientific Officer,2023-01,2025-12,ACTIVE,Other,Management,37,1,2.9178082191780823
Asdhjbv,Office Associate,2023-01,2025-12,ACTIVE,Administrative,Junior,38,1,2.9178082191780823
Quest ontheFRONTIER,Human Resources Consultant,2024-12,2025-12,ACTIVE,Consulting,Professional,39,3,1.0
TOTL RPO SOLUTIONS LLP,HR Associate Consultant,2022-07,2024-11,INACTIVE,Human Resources,Professional,39,3,2.33972602739726
Confederation of Indian Industry,Human Resources,2019-09,2020-03,INACTIVE,Human Resources,Professional,39,3,0.4986301369863014
Roche,Manager,1990-07,2019-07,INACTIVE,Other,Professional,40,2,29.019178082191782
Siemens Healthcare,Service Engineer,1980-09,1990-06,INACTIVE,Information Technology,Professional,40,2,9.753424657534246
Exelonix GmbH,Managing Director,2013-02,2025-12,ACTIVE,Other,Management,41,5,12.838356164383562
Baumer Optronic GmbH,Head of Sales,2012-02,2013-01,INACTIVE,Sales,Lead,41,5,0.9178082191780822
Signalion GmbH,Head of Marketing,2009-01,2012-02,INACTIVE,Marketing,Lead,41,5,3.084931506849315
Signalion,Manager Marketing & Sales,2005-01,2008-12,INACTIVE,Other,Professional,41,5,3.9178082191780823
Technische Universität Dresden,Phd Student,1998-01,2003-01,INACTIVE,Other,Junior,41,5,5.002739726027397
Roto Frank Holding AG,Alleinvorstand Roto Frank Holding AG,2023-01,2025-12,ACTIVE,Other,Management,42,1,2.9178082191780823
Finanzamt Münster-Außenstadt,Duales Studium Diplom Finanzwirt,2024-09,2024-12,INACTIVE,Other,Junior,43,6,0.2493150684931507
FLSmidth,Senior Arbeitsplaner,2022-09,2023-09,INACTIVE,Project Management,Senior,43,6,1.0
thyssenkrupp,Arbeitsplaner für Internationale Getriebemontagen,2020-10,2022-09,INACTIVE,Project Management,Professional,43,6,1.917808219178082
thyssenkrupp,Service Engineer für Reparaturaufträge,2019-05,2020-09,INACTIVE,Customer Support,Professional,43,6,1.3397260273972602
thyssenkrupp,Zerspanungsmechaniker,2016-02,2019-04,INACTIVE,Other,Professional,43,6,3.164383561643836
thyssenkrupp,Auszubildender zum Zerspanungsmechaniker,2012-08,2016-01,INACTIVE,Other,Junior,43,6,3.419178082191781
FRANK GmbH,Product Manager,2023-11,2025-12,ACTIVE,Project Management,Professional,44,4,2.084931506849315
SprintRay Inc.,Technical Support Specialist EMEA - Dental 3D Printing,2021-08,2023-10,INACTIVE,Customer Support,Professional,44,4,2.1671232876712327
Fiberthree GmbH,Internship 3D printing FDM (Bachelor thesis),2020-07,2021-01,INACTIVE,Information Technology,Junior,44,4,0.5041095890410959
KISICO,Machine Operator Injection Moulding,2019-10,2020-01,INACTIVE,Other,Professional,44,4,0.25205479452054796
Norra Halland,Reporter,2024-06,2025-12,ACTIVE,Other,Professional,45,7,1.5013698630136987
Levantine Bistro,Waiter & Bartender,2024-03,2025-12,ACTIVE,Other,Professional,45,7,1.7534246575342465
Levantine Bistro,Waiter & Bartender,2022-07,2023-08,INACTIVE,Other,Professional,45,7,1.084931506849315
Lapland Resorts AB,Cook,2022-02,2022-05,INACTIVE,Other,Professional,45,7,0.24383561643835616
Tall Tale Stockholm AB,Reporter och researcher,2020-11,2021-08,INACTIVE,Other,Professional,45,7,0.7479452054794521
Altinget.se,Studentmedarbetare,2020-08,2020-10,INACTIVE,Other,Junior,45,7,0.16712328767123288
PodMe,Radio Reporter and Researcher,2020-01,2020-10,INACTIVE,Other,Professional,45,7,0.7506849315068493
EnBet Consulting,Geschäftsführer,2021-02,2025-12,ACTIVE,Other,Management,46,7,4.832876712328767
SW Operations GmbH,Geschäftsführer,2022-02,2024-02,INACTIVE,Other,Management,46,7,2.0
SBS Solutions GmbH / Bet3000,Leiter für Unternehmensentwicklung / Franchise,2019-09,2021-07,INACTIVE,Business Development,Lead,46,7,1.832876712328767
XTiP Sportwetten Shops GmbH,Leiter Expansion,2018-10,2019-08,INACTIVE,Business Development,Lead,46,7,0.8328767123287671
XTiP Sportwetten Shops GmbH,Expansionsmanager,2017-10,2018-09,INACTIVE,Business Development,Professional,46,7,0.9178082191780822
WETTBAR tipp GmbH,Expansions Manager,2014-09,2017-10,INACTIVE,Business Development,Professional,46,7,3.084931506849315
Mersino GmbH,Filialmanager,2011-09,2014-09,INACTIVE,Other,Professional,46,7,3.0027397260273974
TOPMOTIVE,CEO / Managing Shareholder,2013-01,2025-12,ACTIVE,Other,Management,47,6,12.923287671232877
TOPMOTIVE,Member Of The Management Board (HR and Finance),2008-01,2013-01,INACTIVE,Other,Management,47,6,5.005479452054795
DigitalNativeAlliance,Member of the Advisory Board,2025-01,2025-12,ACTIVE,Other,Management,47,6,0.915068493150685
Studien- und Fördergesellschaft der Schleswig-Holsteinischen Wirtschaft e.V.,Member of the Advisory Board,2022-08,2025-12,ACTIVE,Other,Management,47,6,3.336986301369863
RISKMETRICS GROUP,Intern,2010-02,2010-06,INACTIVE,Other,Junior,47,6,0.3287671232876712
MTU Aero Engines,Intern,2008-04,2008-10,INACTIVE,Other,Junior,47,6,0.5013698630136987
DELABO.GROUP GmbH,CFO,2019-10,2023-03,INACTIVE,Other,Management,48,1,3.4164383561643836
Wehner Consulting GmbH,Geschäftsführer,2019-06,2025-12,ACTIVE,Other,Management,49,3,6.506849315068493
EDAG Production Solutions GmbH & Co. KG,Project Management,2014-08,2017-09,INACTIVE,Project Management,Professional,49,3,3.0876712328767124
Techniker Krankenkasse,Key Account Manager,2013-02,2014-03,INACTIVE,Sales,Professional,49,3,1.0767123287671232
Kampffmeyer Food Innovation GmbH,Director Sales,1989-01,2025-12,ACTIVE,Sales,Director,50,1,36.93972602739726
Lufthansa,Sub-Stream Lead Simplify | Turnaround Programs,2025-01,2025-12,ACTIVE,Project Management,Lead,51,12,0.915068493150685
Lufthansa,Manager | Enhance Efficiency Programs,2024-01,2024-12,INACTIVE,Other,Professional,51,12,0.9178082191780822
vent.io,Innovation Lead,2022-11,2023-11,INACTIVE,Other,Lead,51,12,1.0
vent.io,Senior Innovation Manager,2021-11,2022-10,INACTIVE,Other,Senior,51,12,0.915068493150685
Karlsruhe Institute of Technology (KIT),Research Associate,2017-08,2021-07,INACTIVE,Consulting,Junior,51,12,3.9178082191780823
BASF,Research Associate,2017-10,2021-03,INACTIVE,Consulting,Junior,51,12,3.4164383561643836
IBM Corporate Headquarters,Managing Strategy Consultant & Data Scientist,2015-06,2017-04,INACTIVE,Consulting,Professional,51,12,1.8356164383561644
IBM Corporate Headquarters,Senior Strategy Consultant,2014-01,2015-05,INACTIVE,Consulting,Senior,51,12,1.3287671232876712
Hult International Business School,Teaching Assistant,2013-09,2013-12,INACTIVE,Other,Junior,51,12,0.2493150684931507
IBM,Senior Consultant,2010-07,2012-08,INACTIVE,Consulting,Senior,51,12,2.0876712328767124
IBM,Consultant,2008-10,2010-06,INACTIVE,Consulting,Professional,51,12,1.6657534246575343
IBM,Business Analyst,2005-10,2008-09,INACTIVE,Other,Professional,51,12,2.9205479452054797
noury AG,Chief Revenue Officer (CRO),2024-11,2025-12,ACTIVE,Sales,Management,52,4,1.082191780821918
Boss Info,Group CFO,2022-04,2024-11,INACTIVE,Other,Management,52,4,2.589041095890411
Full Speed Systems AG,CFO,1996-01,2024-11,INACTIVE,Other,Management,52,4,28.854794520547944
webnwine AG,CEO,2007-01,2022-04,INACTIVE,Other,Management,52,4,15.257534246575343
German Operation of CINRAM,Vice President,2023-01,2025-12,ACTIVE,Other,Management,53,1,2.9178082191780823
Nordson Adhesive Dispensing Systems,Business Development Manager,2024-03,2025-12,ACTIVE,Business Development,Professional,54,11,1.7534246575342465
Nordson Adhesive Dispensing Systems,Product Innovation Manager,2022-03,2024-02,INACTIVE,Marketing,Professional,54,11,1.9232876712328768
Nordson Adhesive Dispensing Systems,Application Engineering Manager,2014-05,2022-02,INACTIVE,Information Technology,Professional,54,11,7.761643835616439
Nordson Adhesive Dispensing Systems,Application Development Specialist & Technician Supervisor,2011-05,2014-04,INACTIVE,Information Technology,Lead,54,11,2.9205479452054797
Nordson Adhesive Dispensing Systems,Application Development Specialist,2009-11,2011-06,INACTIVE,Information Technology,Professional,54,11,1.5808219178082192
Nordson Adhesive Dispensing Systems,Design Engineer,2008-01,2010-01,INACTIVE,Information Technology,Professional,54,11,2.0027397260273974
Waterloo University,M.Sc. in Mechanical Engineering,2005-09,2007-10,INACTIVE,Other,Professional,54,11,2.0821917808219177
Queen's University Mechanical Engineering,Research Assistant,2004-05,2004-09,INACTIVE,Other,Junior,54,11,0.336986301369863
Genpharm Inc.,Engineering Student,2003-05,2003-08,INACTIVE,Information Technology,Junior,54,11,0.25205479452054796
Queen's University,Technical Support Advisor,2002-08,2003-04,INACTIVE,Customer Support,Professional,54,11,0.6657534246575343
"BMW Group, New Technology Concepts/Innovation in Chassis Systems",Internship,2002-05,2002-08,INACTIVE,Other,Junior,54,11,0.25205479452054796
myclimate,Projektleiterin Bildung,2021-06,2025-12,ACTIVE,Other,Lead,55,7,4.504109589041096
myclimate,Projektmitarbeiterin Bildung,2018-11,2021-05,INACTIVE,Other,Professional,55,7,2.4986301369863013
Stiftung PanEco,Praktikantin Umweltbildung,2018-02,2018-10,INACTIVE,Other,Junior,55,7,0.663013698630137
Eawag,Student Research Assistant,2015-09,2015-12,INACTIVE,Other,Junior,55,7,0.2493150684931507
Universität Zürich | University of Zurich,Akademischer Tutor,2015-02,2015-06,INACTIVE,Other,Junior,55,7,0.3287671232876712
Universität Zürich | University of Zurich,Akademischer Tutor,2014-02,2014-06,INACTIVE,Other,Junior,55,7,0.3287671232876712
Valora Group,Angestellte Verkauf,2012-08,2013-11,INACTIVE,Sales,Professional,55,7,1.252054794520548
Dreamcatcher Alley,Co Owner,2007-01,2025-12,ACTIVE,Other,Management,56,4,18.92876712328767
Sunstates Security,Information Security Officer,2009-01,2015-01,INACTIVE,Information Technology,Professional,56,4,6.002739726027397
bells weddings,Revern Linda Bell,1999-11,2010-01,INACTIVE,Other,Professional,56,4,10.175342465753424
Allied Barton security,Security Officer,2004-01,2009-01,INACTIVE,Information Technology,Professional,56,4,5.005479452054795
Desjardins,"Practice Leader, Data Valorization Strategy",2025-01,2025-12,ACTIVE,Consulting,Lead,57,14,0.915068493150685
ATECNA Montréal,"Associate Director, Data Strategy & Optimisation",2024-01,2025-01,INACTIVE,Information Technology,Director,57,14,1.0027397260273974
ATECNA Montréal,General Manager,2021-01,2024-01,INACTIVE,Other,Management,57,14,3.0
ATECNA Montréal,"Associate Director, Digital Analytics",2020-09,2021-10,INACTIVE,Marketing,Director,57,14,1.082191780821918
ATECNA Montréal,Digital Performance Director,2019-11,2020-08,INACTIVE,Marketing,Director,57,14,0.7506849315068493
Mediative,"Director, Marketing Analytics & Data Services",2017-01,2018-01,INACTIVE,Marketing,Director,57,14,1.0
Mediative,"Manager, Analytics & Insights",2015-01,2017-01,INACTIVE,Information Technology,Professional,57,14,2.0027397260273974
Mediative,Senior Strategist,2013-01,2015-01,INACTIVE,Consulting,Senior,57,14,2.0
Mediative,Performance Media Strategist,2011-01,2013-01,INACTIVE,Marketing,Professional,57,14,2.0027397260273974
Yellow Pages Group / Groupe Pages Jaunes – Canada,Search Marketing Specialist,2010-01,2011-07,INACTIVE,Marketing,Professional,57,14,1.4958904109589042
Nextedia,International Team Manager,2008-01,2009-01,INACTIVE,Other,Professional,57,14,1.0027397260273974
Nextedia,International Webmarketing Consultant,2007-01,2008-01,INACTIVE,Consulting,Professional,57,14,1.0
B. Braun Group - Vascular Systems,Strategic Marketing,2003-01,2005-01,INACTIVE,Marketing,Professional,57,14,2.0027397260273974
B. Braun Group - Vascular Systems,Marketing Trainee,2000-01,2003-01,INACTIVE,Marketing,Junior,57,14,3.0027397260273974
Sedef Shipbuilding Inc.,iş güvenliği,2020-02,2025-12,ACTIVE,Other,Professional,58,4,5.835616438356165
Arıtsan Çevre Ölçüm ve Analiz Laboratuvarı,çevre teknikeri,2014-09,2019-08,INACTIVE,Other,Professional,58,4,4.917808219178082
TUPRAS,işçi sağlığı ve güvenliği,2012-09,2014-06,INACTIVE,Other,Professional,58,4,1.747945205479452
UZMAR,Stajyer,2013-06,2013-10,INACTIVE,Other,Junior,58,4,0.33424657534246577
Giganet Services GmbH,Geschäftsführer bei Giganet Services GmbH,2024-09,2025-12,ACTIVE,Other,Management,59,16,1.2493150684931507
Expert Link GmbH,Owner,2010-02,2025-12,ACTIVE,Other,Management,59,16,15.841095890410958
GIGA FIBER,Geschäftsführer,2023-12,2025-03,INACTIVE,Other,Management,59,16,1.2493150684931507
Infrafibre Networks GmbH,Mitglied der Geschäftsleitung,2023-02,2023-12,INACTIVE,Other,Management,59,16,0.8301369863013699
BBV Deutschland GmbH,COO,2017-05,2023-03,INACTIVE,Other,Management,59,16,5.835616438356165
allgorite,Managing Partner,2013-02,2019-09,INACTIVE,Business Development,Management,59,16,6.583561643835616
AzerTelecom,CEO,2010-08,2013-02,INACTIVE,Other,Management,59,16,2.506849315068493
AzerTelecom,COO,2009-12,2010-07,INACTIVE,Other,Management,59,16,0.5808219178082191
Airbites,Chief Commercial Officer,2006-11,2009-09,INACTIVE,Sales,Management,59,16,2.835616438356164
"Cinetrade AG, Teleclub AG",Head of Strategy and New Businesses,2005-04,2006-11,INACTIVE,Business Development,Lead,59,16,1.5863013698630137
Swisscom,"Deputy Head of Group Business Development, Senior Business Development Manager",2003-02,2005-04,INACTIVE,Business Development,Lead,59,16,2.164383561643836
Swisscom,Senior Strategy Manager,2002-05,2003-02,INACTIVE,Consulting,Senior,59,16,0.7561643835616438
Cablecom,Head of Strategy and Business Development,2001-01,2002-04,INACTIVE,Business Development,Lead,59,16,1.2465753424657535
Cablecom,Manager Business Development,1998-11,2000-12,INACTIVE,Business Development,Professional,59,16,2.084931506849315
